country;Region
Afghanistan;Rest of the world
Albania;Rest of the world
Algeria;Rest of the world
Andorra;Western-EU
Angola;Rest of the world
Antigua and Barbuda;Rest of the world
Argentina;Rest of the world
Armenia;Rest of the world
Australia;Western-nonEU
Austria;Western-EU
Azerbaijan;Rest of the world
Bahamas;Rest of the world
Bahrain;Fossil
Bangladesh;Rest of the world
Barbados;Rest of the world
Belarus;Rest of the world
Belgium;Western-EU
Belize;Rest of the world
Benin;Rest of the world
Bhutan;Rest of the world
Bolivia;Rest of the world
Bosnia and Herzegovina;Rest of the world
Botswana;Rest of the world
Brazil;Rest of the world
Brunei;Fossil
Bulgaria;Western-EU
Burkina Faso;Rest of the world
Burundi;Rest of the world
Cambodia;Rest of the world
Cameroon;Rest of the world
Canada;Western-nonEU
Cape Verde;Rest of the world
Central African Republic;Rest of the world
Chad;Rest of the world
Chile;Rest of the world
China;South and Far East Asia
Colombia;Rest of the world
Comoros;Rest of the world
Congo;Rest of the world
Cook Islands;Rest of the world
Costa Rica;Rest of the world
Cote d'Ivoire;Rest of the world
Croatia;Western-EU
Cuba;Rest of the world
Cyprus;Western-EU
Czechia;Western-EU
Democratic Republic of Congo;Rest of the world
Denmark;Western-EU
Djibouti;Rest of the world
Dominica;Rest of the world
Dominican Republic;Rest of the world
East Timor;Rest of the world
Ecuador;Rest of the world
Egypt;Rest of the world
El Salvador;Rest of the world
Equatorial Guinea;Rest of the world
Eritrea;Rest of the world
Estonia;Western-EU
Eswatini;Rest of the world
Ethiopia;Rest of the world
Fiji;Rest of the world
Finland;Western-EU
France;Western-EU
Gabon;Rest of the world
Gambia;Rest of the world
Georgia;Rest of the world
Germany;Western-EU
Ghana;Rest of the world
Greece;Western-EU
Grenada;Rest of the world
Guatemala;Rest of the world
Guinea;Rest of the world
Guinea-Bissau;Rest of the world
Guyana;Rest of the world
Haiti;Rest of the world
Honduras;Rest of the world
Hungary;Western-EU
Iceland;Western-EU
India;South and Far East Asia
Indonesia;South and Far East Asia
Iran;Fossil
Iraq;Fossil
Ireland;Western-EU
Israel;Western-nonEU
Italy;Western-EU
Jamaica;Rest of the world
Japan;Western-nonEU
Jordan;Rest of the world
Kazakhstan;Fossil
Kenya;Rest of the world
Kiribati;Rest of the world
Kosovo;Rest of the world
Kuwait;Fossil
Kyrgyzstan;Rest of the world
Laos;Rest of the world
Latvia;Western-EU
Lebanon;Rest of the world
Lesotho;Rest of the world
Liberia;Rest of the world
Libya;Rest of the world
Liechtenstein;Western-EU
Lithuania;Western-EU
Luxembourg;Western-EU
Madagascar;Rest of the world
Malawi;Rest of the world
Malaysia;South and Far East Asia
Maldives;Rest of the world
Mali;Rest of the world
Malta;Western-EU
Marshall Islands;Rest of the world
Mauritania;Rest of the world
Mauritius;Rest of the world
Mexico;Rest of the world
Micronesia (country);Rest of the world
Moldova;Rest of the world
Monaco;Western-EU
Mongolia;Rest of the world
Montenegro;Rest of the world
Morocco;Rest of the world
Mozambique;Rest of the world
Myanmar;Rest of the world
Namibia;Rest of the world
Nauru;Rest of the world
Nepal;Rest of the world
Netherlands;Western-EU
New Zealand;Rest of the world
Nicaragua;Rest of the world
Niger;Rest of the world
Nigeria;Fossil
North Korea;Rest of the world
North Macedonia;Rest of the world
Norway;Western-EU
Oman;Rest of the world
Pakistan;Rest of the world
Palau;Rest of the world
Palestine;Rest of the world
Panama;Rest of the world
Papua New Guinea;Rest of the world
Paraguay;Rest of the world
Peru;Rest of the world
Philippines;South and Far East Asia
Poland;Western-EU
Portugal;Western-EU
Qatar;Fossil
Romania;Western-EU
Russia;Fossil
Rwanda;Rest of the world
Saint Kitts and Nevis;Rest of the world
Saint Lucia;Rest of the world
Saint Vincent and the Grenadines;Rest of the world
Samoa;Rest of the world
San Marino;Western-EU
Sao Tome and Principe;Rest of the world
Saudi Arabia;Fossil
Senegal;Rest of the world
Serbia;Rest of the world
Seychelles;Rest of the world
Sierra Leone;Rest of the world
Singapore;South and Far East Asia
Slovakia;Western-EU
Slovenia;Western-EU
Solomon Islands;Rest of the world
Somalia;Rest of the world
South Africa;Rest of the world
South Korea;Western-nonEU
South Sudan;Rest of the world
Spain;Western-EU
Sri Lanka;Rest of the world
Sudan;Rest of the world
Suriname;Rest of the world
Sweden;Western-EU
Switzerland;Western-EU
Syria;Rest of the world
Taiwan;Western-nonEU
Tajikistan;Rest of the world
Tanzania;Rest of the world
Thailand;South and Far East Asia
Togo;Rest of the world
Tonga;Rest of the world
Trinidad and Tobago;Rest of the world
Tunisia;Rest of the world
Turkey;Western-nonEU
Turkmenistan;Rest of the world
Tuvalu;Rest of the world
Uganda;Rest of the world
Ukraine;Rest of the world
United Arab Emirates;Fossil
United Kingdom;Western-EU
United States;Western-nonEU
Uruguay;Rest of the world
Uzbekistan;Rest of the world
Vanuatu;Rest of the world
Vatican;Western-EU
Venezuela;Fossil
Vietnam;South and Far East Asia
Yemen;Rest of the world
Zambia;Rest of the world
Zimbabwe;Rest of the world
Ryukyu Islands;Rest of the world
Ryukyu Islands (GCP);Rest of the world
Anguilla;Rest of the world
Aruba;Rest of the world
Bermuda;Rest of the world
Bonaire Sint Eustatius and Saba;Rest of the world
British Virgin Islands;Rest of the world
Christmas Island;Rest of the world
Curacao;Rest of the world
Faroe Islands;Western-EU
French Polynesia;Rest of the world
Greenland;Western-EU
Hong Kong;South and Far East Asia
Macao;South and Far East Asia
Montserrat;Rest of the world
New Caledonia;Rest of the world
Niue;Rest of the world
Saint Helena;Rest of the world
Saint Pierre and Miquelon;Western-EU
Sint Maarten (Dutch part);Rest of the world
Turks and Caicos Islands;Rest of the world
Wallis and Futuna;Rest of the world
